BGP table version is 16188164, local router ID is 217.192.89.52
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *>  0.0.0.0/8        192.168.1.1              0    300      0 (65000 65098) i
 *   1.4.252.0/22     138.187.128.20      500000    300      0 (65000) 3356 38040 23969 i
 *   1.5.0.0/16       138.187.158.15      550100    300      0 (65000 65065) 17676 4725 i
 *   1.6.0.0/22       138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.4.0/22       138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.6.0/24       138.187.128.20      500000    300      0 (65000) 6453 9583 i
 *   1.6.8.0/22       138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.12.0/22      138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.16.0/22      138.187.128.20      500000    300      0 (65000) 6453 9583 i
 *   1.6.20.0/22      138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.24.0/22      138.187.128.71      500000    300      0 (65000) 1273 9583 i
 *   1.6.28.0/22      138.187.128.71      500000    300      0 (65000) 1273 9583 i
 *   1.6.32.0/22      138.187.128.71      500000    300      0 (65000) 1273 9583 i
 *   1.6.36.0/22      138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.40.0/22      138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.44.0/22      138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.48.0/22      138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.52.0/22      138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.56.0/22      138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.60.0/22      138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.64.0/22      138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.66.0/24      138.187.128.20      500000    300      0 (65000) 6453 9583 i
 *   1.6.67.0/24      138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.68.0/22      138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.72.0/24      138.187.128.35      550000    300      0 (65000) 6453 9583 i
 *   1.6.72.0/22      138.187.128.71      500000    300      0 (65000) 1273 9583 i
 *   1.6.73.0/24      138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.74.0/24      138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.75.0/24      138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.76.0/22      138.187.128.71      500000    300      0 (65000) 1273 9583 i
 *   1.6.80.0/22      138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.84.0/22      138.187.128.38      550000    300      0 (65000) 2914 9583 i
 *   1.6.88.0/22      138.187.128.35      550000    300      0 (65000) 1273 9583 i
